FullName,Direction,Name,Suffix,SuffixDirection,MinAddress,MaxAddress
E ADMINISTRATION DR,E,ADMINISTRATION,DR, ,720,799
W AGATITE AVE,W,AGATITE,AVE, ,800,8699
W AINSLIE ST,W,AINSLIE,ST, ,804,5899
N ALBANY AVE,N,ALBANY,AVE, ,1,7599
S ALBANY AVE,S,ALBANY,AVE, ,1,11299
N ALBANY DR,N,ALBANY,DR, ,1542,1599
W ALBION AVE,W,ALBION,AVE, ,1000,7299
W ALDINE AVE,W,ALDINE,AVE, ,400,899
W ALEXANDER ST,W,ALEXANDER,ST, ,200,299
N ALGONQUIN AVE,N,ALGONQUIN,AVE, ,6416,6999
N ALLEN AVE,N,ALLEN,AVE, ,2900,3099
S ALLPORT ST,S,ALLPORT,ST, ,1600,2199
N ALTA VISTA TER,N,ALTA VISTA,TER, ,3800,3899
W ALTGELD ST,W,ALTGELD,ST, ,800,7199
N ANCHOR DR,N,ANCHOR,DR, ,3200,3261
W ANCONA ST,W,ANCONA,ST, ,800,1399
W ANN LURIE PL,W,ANN LURIE,PL, ,4000,4557
W ANSON PL,W,ANSON,PL, ,2200,2299
N ANTHON AVE,N,ANTHON,AVE, ,4500,4799
S ANTHONY AVE,S,ANTHONY,AVE, ,6760,9420
W ARBOUR PL,W,ARBOUR,PL, ,1324,1599
W ARCADE PL,W,ARCADE,PL, ,100,1799
S ARCH ST,S,ARCH,ST, ,2900,3099
S ARCHER AVE,S,ARCHER,AVE, ,1900,6399
W ARCHER AVE,W,ARCHER,AVE, ,6400,7161
W ARDMORE AVE,W,ARDMORE,AVE, ,900,7899
W ARGYLE ST,W,ARGYLE,ST, ,820,8613
W ARLINGTON PL,W,ARLINGTON,PL, ,400,699
W ARMITAGE AVE,W,ARMITAGE,AVE, ,300,7199
N ARMOUR ST,N,ARMOUR,ST, ,400,799
W ARMSTRONG AVE,W,ARMSTRONG,AVE, ,5200,5551
N ARMSTRONG CT,N,ARMSTRONG,CT, ,6800,6950
N ARMSTRONG RD,N,ARMSTRONG,RD, ,6900,6937
W ARMSTRONG RD,W,ARMSTRONG,RD, ,12040,12131
N ARTESIAN AVE,N,ARTESIAN,AVE, ,200,7499
S ARTESIAN AVE,S,ARTESIAN,AVE, ,300,11899
W ARTHINGTON ST,W,ARTHINGTON,ST, ,1056,5999
W ARTHUR AVE,W,ARTHUR,AVE, ,1200,7199
W ASHER ST,W,ASHER,ST, ,1534,1599
N ASHLAND AVE,N,ASHLAND,AVE, ,1,7799
S ASHLAND AVE OP,S,ASHLAND,AVE,OP,3720,3999
S ASHLAND AVE,S,ASHLAND,AVE, ,2,12299
N ASHLAND BLVD,N,ASHLAND,BLVD, ,6800,7438
N ASTOR ST,N,ASTOR,ST, ,1200,1599
W ATTRILL ST,W,ATTRILL,ST, ,2600,2699
W AUGUSTA BLVD,W,AUGUSTA,BLVD, ,1200,5999
N AUSTIN AVE,N,AUSTIN,AVE, ,1600,6199
S AUSTIN AVE,S,AUSTIN,AVE, ,5100,6499
N AUSTIN BLVD,N,AUSTIN,BLVD, ,1,1599
S AUSTIN BLVD,S,AUSTIN,BLVD, ,1,1199
N AUSTIN AV JFK XR,N,AUSTIN AV JFK,XR, ,5425,5499
S AVALON AVE,S,AVALON,AVE, ,7600,9899
S AVENUE B,S,AVENUE B, , ,10500,11210
S AVENUE C,S,AVENUE C, , ,10600,11199
S AVENUE D,S,AVENUE D, , ,10600,11199
S AVENUE E,S,AVENUE E, , ,10400,11199
S AVENUE F,S,AVENUE F, , ,10142,13259
S AVENUE G,S,AVENUE G, , ,9800,11699
S AVENUE G DR,S,AVENUE G,DR, ,9722,10199
S AVENUE H,S,AVENUE H, , ,9700,11699
S AVENUE J,S,AVENUE J, , ,9600,11799
S AVENUE K,S,AVENUE K, , ,13300,13599
S AVENUE L,S,AVENUE L, , ,9500,13599
S AVENUE M,S,AVENUE M, , ,9500,13599
S AVENUE N,S,AVENUE N, , ,9500,13541
S AVENUE O,S,AVENUE O, , ,8700,13799
N AVERS AVE,N,AVERS,AVE, ,300,6399
S AVERS AVE,S,AVERS,AVE, ,1200,10838
N AVONDALE AVE,N,AVONDALE,AVE, ,2029,6799
N BAGGOT CT,N,BAGGOT,CT, ,6300,6399
S BAKER AVE,S,BAKER,AVE, ,8300,8499
E BALBO AVE,E,BALBO,AVE, ,1,99
E BALBO DR,E,BALBO,DR, ,100,399
S BALDWIN AVE,S,BALDWIN,AVE, ,7400,7499
W BALMORAL AVE,W,BALMORAL,AVE, ,1000,8399
S BALTIMORE AVE,S,BALTIMORE,AVE, ,8300,13559
E BANKS ST,E,BANKS,ST, ,1,81
W BARRY AVE,W,BARRY,AVE, ,314,7599
N BAY CT,N,BAY,CT, ,3200,3261
W BEACH AVE,W,BEACH,AVE, ,1600,3599
N BEACON ST,N,BEACON,ST, ,4400,4799
N BEAUBIEN CT,N,BEAUBIEN,CT, ,140,199
W BELDEN AVE,W,BELDEN,AVE, ,300,7199
